From, To, Tempo, Qtde, Kind, Lat, Lon
n333,n330,420,0,31,-49.268371599999995,-25.438294
n310,n333,420,0,31,-49.268718199999995,-25.437609449999997
n333,n310,420,0,31,-49.268718199999995,-25.437609449999997
n338,n339,420,0,44,-49.2709892,-25.43941025
n339,n338,420,0,40,-49.2709892,-25.43941025
n329,n338,420,0,42,-49.271986299999995,-25.43969795
n338,n329,420,0,42,-49.271986299999995,-25.43969795
n127,n341,420,0,51,-49.26524365,-25.4388921
n341,n127,420,0,51,-49.26524365,-25.4388921
n221,n332,420,0,32,-49.268856400000004,-25.4401793
n332,n221,420,0,32,-49.268856400000004,-25.4401793
n221,n358,420,0,32,-49.2679859,-25.439863799999998
n358,n221,420,0,32,-49.2679859,-25.439863799999998
n231,n358,420,0,32,-49.2672931,-25.43960945
n217,n231,420,0,32,-49.266834700000004,-25.4394356
n231,n217,420,0,32,-49.266834700000004,-25.4394356
n127,n217,420,0,32,-49.2660169,-25.439118049999998
n217,n127,420,0,32,-49.2660169,-25.439118049999998
n229,n326,420,0,32,-49.27206865,-25.441392299999997
n326,n229,420,0,32,-49.27206865,-25.441392299999997
n229,n362,420,0,32,-49.27154525,-25.441188099999998
n362,n229,420,0,32,-49.27154525,-25.441188099999998
n332,n362,420,0,32,-49.27038665,-25.4407454
n176,n130,420,0,32,-49.262059050000005,-25.43765345
n332,n357,420,0,32,-49.2693857,-25.44045045
n357,n332,420,0,32,-49.2693857,-25.44045045
n350,n357,420,0,32,-49.2690171,-25.441204149999997
n130,n355,420,0,43,-49.26286015,-25.4379861
n355,n130,420,0,43,-49.26286015,-25.4379861
n203,n355,420,0,43,-49.262635700000004,-25.43840755
n230,n354,420,0,31,-49.26731395,-25.4397469
n354,n230,420,0,31,-49.26731395,-25.4397469
n218,n230,420,0,31,-49.2667966,-25.43955845
n230,n218,420,0,31,-49.2667966,-25.43955845
n341,n218,420,0,31,-49.2658995,-25.439215500000003
n215,n341,420,0,31,-49.2651052,-25.438914250000003
n341,n215,420,0,31,-49.2651052,-25.438914250000003
n179,n215,420,0,31,-49.2642017,-25.43857745
n215,n179,420,0,31,-49.2642017,-25.43857745
n179,n219,420,0,31,-49.2633208,-25.438246
n219,n179,420,0,31,-49.2633208,-25.438246
n219,n371,420,0,31,-49.263060100000004,-25.43813805
n371,n219,420,0,31,-49.263060100000004,-25.43813805
n355,n371,420,0,31,-49.2628542,-25.438051
n371,n355,420,0,31,-49.2628542,-25.438051
n176,n355,420,0,32,-49.2620228,-25.43770585
n355,n176,420,0,32,-49.2620228,-25.43770585
n357,n356,420,0,31,-49.27032125,-25.4408916
n223,n357,420,0,31,-49.268869,-25.440324949999997
n357,n223,420,0,31,-49.268869,-25.440324949999997
n222,n223,420,0,31,-49.2682486,-25.44007975
n223,n222,420,0,31,-49.2682486,-25.44007975
n222,n354,420,0,31,-49.267867100000004,-25.4399409
n354,n222,420,0,31,-49.267867100000004,-25.4399409
n360,n347,420,0,31,-49.27283585,-25.441874
n228,n360,420,0,31,-49.2720688,-25.44156405
n360,n228,420,0,31,-49.2720688,-25.44156405
n228,n356,420,0,31,-49.2715473,-25.44136375
n356,n228,420,0,31,-49.2715473,-25.44136375
n354,n358,420,0,31,-49.2676485,-25.43980375
n358,n354,420,0,31,-49.2676485,-25.43980375
n330,n358,420,0,31,-49.2679998,-25.43907
n326,n360,420,0,43,-49.2723671,-25.44159105
n360,n326,420,0,43,-49.2723671,-25.44159105
n361,n360,420,0,43,-49.27198785,-25.44232955
n326,n344,420,0,32,-49.2729121,-25.441711599999998
n356,n362,420,0,42,-49.2713222,-25.44118655
n362,n356,420,0,42,-49.2713222,-25.44118655
n338,n362,420,0,42,-49.2716546,-25.44045045
n356,n366,420,0,42,-49.270974550000005,-25.441929899999998
n371,n372,420,0,75,-49.26294405,-25.43801545
n372,n371,420,0,75,-49.26294405,-25.43801545
n376,n202,420,0,42,-49.2610069,-25.43776045
n128,n376,420,0,41,-49.2617123,-25.43667195
n376,n128,420,0,41,-49.2617123,-25.43667195
n39,n298,420,0,40,-49.25749055,-25.4355546
n298,n39,420,0,42,-49.25749055,-25.4355546
n196,n247,420,0,63,-49.27293565,-25.43648615
n247,n196,420,0,63,-49.27293565,-25.43648615
n102,n382,420,0,61,-49.270205250000004,-25.434586799999998
n382,n383,420,0,63,-49.26933925,-25.435067
n383,n382,420,0,63,-49.26933925,-25.435067
n111,n386,420,0,72,-49.25884755,-25.43180505
n386,n111,420,0,72,-49.25884755,-25.43180505
n196,n314,420,0,41,-49.273013899999995,-25.43750035
n256,n314,420,0,31,-49.2728503,-25.4384197
n314,n256,420,0,32,-49.2728503,-25.4384197
n46,n256,420,0,31,-49.27336085,-25.43862445
n256,n46,420,0,32,-49.27336085,-25.43862445
n284,n387,420,0,42,-49.25988625,-25.43509585
n387,n284,420,0,42,-49.25988625,-25.43509585
n40,n387,420,0,42,-49.25898115,-25.4347438
n284,n287,420,0,31,-49.26032095,-25.4352047
n287,n284,420,0,31,-49.26032095,-25.4352047
n115,n383,420,0,42,-49.268383099999994,-25.4356657
n383,n115,420,0,42,-49.268383099999994,-25.4356657
n241,n115,420,0,31,-49.26830755,-25.43662305
n241,n311,420,0,32,-49.2688632,-25.43684195
n311,n241,420,0,31,-49.2688632,-25.43684195
n382,n311,420,0,31,-49.2694756,-25.436103799999998
n258,n311,420,0,31,-49.26937145,-25.4370362
n311,n258,420,0,32,-49.26937145,-25.4370362
n258,n281,420,0,32,-49.26976835,-25.4371953
n281,n258,420,0,31,-49.26976835,-25.4371953
